Gene_ID	tumor_1	tumor_2	tumor_3	tumor_4	tumor_5	tumor_6	tumor_7
18616	9461	31	8489	5001	6449	41450	10533
18617	1	0	2	0	0	0	0
18618	99	255	141	101	127	222	243
18619	69	2	0	217	54	28	8
18624	1886	910	681	960	898	1963	1041
18626	895	954	1000	643	656	1633	954
18627	977	1008	1130	1512	915	1536	1537
18628	580	1094	564	572	981	1403	956
18630	0	0	0	0	0	0	0
18631	18	27	5	19	22	41	7
18632	1188	1202	624	579	718	1250	1069
18633	481	608	418	283	355	500	409
18634	752	758	570	469	653	601	734
18636	4167	375	681	926	413	2133	276
18637	497	992	583	793	593	857	943
18639	53	71	34	73	44	123	65
18640	1878	2189	1890	2101	1715	1664	1909
18641	5858	11122	3536	3315	2150	3865	13630
18642	1778	2893	2851	1406	1378	6198	2404
18643	17057	16640	9746	12263	11649	16714	16052
18645	5817	8767	7090	4232	5733	8868	7869
18646	625	10	11	64	41	102	11
18647	3746	2543	2907	19260	3343	3553	2916
18648	1276	1739	1767	1027	941	1196	2422
18654	1279	1233	476	366	582	318	3192
18655	2184	4501	1688	2275	1078	2346	5340
18663	0	0	0	0	0	0	0
18667	4	2	8	1	2	342	1
18669	600	504	183	2614	361	341	429
18670	189	265	192	2426	282	312	112
18671	248	254	109	253	243	122	93
18673	1153	2034	925	816	981	1496	1233
18674	9504	10682	10126	5828	9846	10386	11282
18675	297	391	241	345	213	272	271
18676	3146	2858	2278	3940	4200	3772	3654
18679	986	1563	1267	1648	1706	3603	1376
18682	15	38	38	1	13	489	14
18685	1265	1722	2221	1574	2385	2063	1730
18689	63	93	72	82	120	120	85
18693	775	1112	820	345	788	832	726
18700	579	1017	633	678	671	1006	954
18701	688	719	601	416	852	1019	794
18703	0	0	0	1	0	0	0
18704	7951	4883	7477	5585	8408	7079	6127
18705	0	4	0	0	0	0	1
18706	8533	7258	6437	5155	7011	8960	5576
18707	3041	876	691	830	767	1435	459
18708	5875	6587	4015	4009	4503	8741	3986
18709	4458	6326	6978	2517	4617	7561	6305
18710	8377	12160	10930	5527	7327	7656	5676
18711	6535	7053	5243	3936	5376	7511	5003
18712	2441	1069	1167	1716	3002	4097	1937
18715	209	397	274	182	210	240	215
18716	0	0	0	0	0	0	0
18717	5395	2689	2941	2526	3502	2699	1956
18718	3075	1295	1316	1386	1570	1820	979
18719	17	4	3	3	14	6	2
