"","ND410-B","ND422-B","ND426-B","SLE1077-B","SLE1169-B","SLE985-B","ND410-T","ND422-T","ND426-T","SLE1077-T","SLE1169-T","SLE985-T"
"598",28,40,29,69,29,49,10,13,13,68,11,43
"599",35,34,18,6,24,10,12,19,18,8,9,7
"602",377,532,258,216,223,168,117,140,133,116,135,126
"604",1706,1248,1682,866,512,794,680,915,1304,446,266,461
"605",97,55,104,178,137,268,7,6,18,12,3,17
"606",2,0,0,0,0,0,0,0,0,0,0,0
"607",41,61,104,34,17,23,48,36,62,28,38,34
"608",0,1,0,1,1,1,0,3,0,0,0,0
"610",0,0,0,0,0,0,0,0,0,0,0,0
"611",0,0,0,1,0,0,0,2,6,0,1,0
"613",70,95,90,38,34,39,85,50,43,33,47,64
"617",24,11,10,24,41,18,18,15,2,25,24,11
"622",22,12,5,9,13,7,18,27,26,6,23,3
"623",0,0,0,0,0,0,0,0,1,0,0,0
"624",0,0,1,0,2,0,0,0,0,0,0,0
"627",3,0,0,0,1,1,4,3,0,2,1,2
"629",37,11,0,3,2,0,7,6,19,1,3,1
"631",1,6,2,3,1,1,1,1,0,1,0,2
"632",0,0,0,0,0,0,0,0,0,0,0,0
"634",55,100,121,16,8,8,13,14,15,50,26,21
"635",0,0,0,0,2,0,0,0,1,0,0,0
"636",164,62,115,26,31,13,37,73,34,9,20,8
"637",485,550,153,108,130,110,110,96,121,127,54,81
"638",0,4,1,0,1,0,3,3,0,2,5,1
"639",635,1256,865,218,176,181,554,518,321,354,500,523
"640",214,34,218,214,384,210,7,13,22,16,2,6
"641",66,41,49,67,89,58,38,19,29,63,61,79
"642",35,77,67,58,48,48,61,51,24,95,142,88
"643",1576,347,943,601,847,744,49,60,55,65,72,89
"644",79,85,47,19,14,13,14,19,19,23,22,21
"645",55,49,28,20,7,13,2,16,74,14,5,13
"646",0,0,1,0,0,0,0,0,0,0,0,0
"648",1,3,2,3,3,3,0,0,0,3,5,0
"649",7,4,15,2,3,0,3,1,13,2,2,3
"650",2,3,1,1,0,1,0,0,1,2,0,1
"651",1,1,0,4,1,1,0,0,0,0,0,2
"652",1,0,0,0,0,0,2,0,1,0,0,0
"653",0,0,1,0,0,0,0,0,0,0,0,0
"654",48,33,4,33,50,34,7,4,0,17,1,20
