Run 75	59.4133	59.2564	55.7977	66.7751	55.6564	2.114	1.512	0.7242	0.2379	0.1623	0.1013	0.0984	0.0944	0.0911	0.0888	0.0881	0.0879	0.0864	0.0857	0.0897
Run 76	53.789	52.027	57.4389	54.6698	66.9874	1.5276	0.7795	0.2314	0.1445	0.1284	0.1246	0.1209	3.8869	3.5496	2.9876	2.6777	2.4838	2.3535	2.2921	2.2413
Run 77	59.6139	54.1224	47.7908	50.0781	57.931	0.4281	0.3369	0.4393	0.207	0.0988	0.1071	0.1037	0.749	0.5761	0.5291	0.1218	0.0972	0.0884	0.083	0.0799
Run 78	59.5359	49.2136	69.5054	74.9944	70.4446	2.1472	1.94	1.7089	0.9148	0.4229	0.1993	0.1825	0.1694	0.132	0.1187	0.1168	0.1151	0.1115	0.1108	0.1106
Run 79	61.3087	61.3851	47.9668	61.9999	56.5563	0.7645	0.8184	0.7475	0.4193	0.3017	0.1335	0.1175	0.1059	0.1079	0.1063	0.1177	0.1067	0.1034	0.1033	0.1002
Run 80	54.9324	56.9553	65.9917	58.5584	50.4379	0.9474	0.1741	0.262	0.1247	0.1188	0.1169	0.1153	0.1133	0.1124	0.1099	0.1046	0.1152	0.1045	0.1143	0.1078
Run 81	58.5577	45.7167	44.8791	60.2874	62.1235	1.3777	0.8864	0.8088	0.4935	0.2136	0.1581	0.1422	0.1069	0.0997	0.1427	0.0959	0.1005	0.1	0.099	0.0982
Run 82	55.2535	54.4741	62.4498	53.9577	59.262	0.6499	0.1089	0.0968	0.0946	0.0932	0.094	0.0914	0.0913	0.0825	0.0914	0.0884	0.0882	0.0766	0.0857	0.0841
Run 83	63.9042	49.8616	53.3224	65.8105	52.1044	2.4063	1.669	1.1442	0.9491	0.5801	0.1989	0.1386	0.1276	0.1265	0.1257	0.1191	0.1254	0.116	0.1267	0.1251
Run 84	57.1016	60.007	56.9309	61.3395	56.1522	1.1074	0.4903	0.3288	0.2576	0.2377	0.2309	0.2212	0.1403	0.1328	0.1173	0.1092	0.1081	0.1057	0.1041	0.1028
Run 85	63.2035	59.6682	58.2622	59.4773	50.1702	1.724	0.7878	0.1536	0.1134	0.1059	0.1026	0.0994	0.0967	0.0953	0.0938	0.0927	0.0924	0.0922	0.0919	0.0919
Run 86	68.8267	54.2713	60.1579	48.8608	47.7179	1.7195	1.134	0.7792	0.5721	0.6598	0.6307	0.4048	0.4734	0.2074	0.143	0.1281	0.1106	0.1121	0.1118	0.1085
Run 87	68.7408	55.5684	57.113	74.2178	50.5474	1.2199	0.4342	0.1042	0.0889	0.114	0.0909	0.0854	0.0949	0.0888	0.0921	0.0926	0.0885	0.0868	0.0884	0.0879
Run 88	69.365	64.7675	51.1688	53.4603	56.0949	1.7307	1.3512	0.6121	0.4707	0.127	0.1246	0.1206	0.1201	0.1194	0.1182	0.1182	0.1167	0.1352	0.1078	0.126
Run 89	62.1123	65.3824	61.6219	56.5167	59.8827	0.6756	0.9561	0.8448	0.5769	1.1113	1.0762	1.0038	0.9016	0.824	0.7388	0.6435	0.449	0.1278	0.1101	0.1083
Run 90	73.7237	60.9957	67.567	57.9503	58.0889	1.284	1.0857	0.7356	0.4621	0.5613	0.639	0.5425	0.9179	0.9099	0.8498	0.795	0.6957	0.5801	0.6981	0.6782
Run 91	58.6333	68.5663	75.264	59.0046	58.4384	0.9567	0.2601	0.1378	0.1195	0.1127	0.1113	2.4534	1.9876	1.6748	1.1323	1.0496	0.9179	0.6527	0.4104	0.1543
Run 92	44.9601	65.0538	50.2368	64.0885	59.8607	2.1166	1.1983	0.9674	0.5107	0.4606	0.8358	0.8113	0.748	0.6485	0.4647	0.1321	0.1287	0.1232	0.1227	0.1194
Run 93	77.8934	76.3732	49.5759	64.6186	51.0949	1.0325	0.5109	0.2911	0.1101	0.1002	0.1149	0.0957	0.1054	0.098	0.0985	0.0978	0.0971	0.0974	0.0974	0.095
Run 94	78.5667	66.0932	57.1715	71.1554	57.4274	1.2955	0.485	0.2928	0.2689	0.1866	0.1704	0.1538	0.1299	0.9766	0.535	0.1798	0.1563	0.1365	0.119	0.1112
Run 95	72.419	64.1022	76.0555	56.3081	57.1296	0.9184	0.5067	0.8104	0.1324	0.127	0.127	0.1104	0.1135	0.1116	0.1095	0.1137	0.1045	0.1051	0.1049	0.106
Run 96	56.4373	44.6869	61.3003	54.7971	65.1862	1.7762	0.8836	0.4691	0.1304	0.1133	0.1072	0.1165	0.112	0.1088	0.1087	0.1095	0.1068	0.1016	0.0967	0.0937
Run 97	65.9609	66.1513	49.6923	48.0967	52.9235	1.2212	0.1555	0.129	0.7287	0.178	0.1418	0.1276	0.1153	0.109	0.1127	0.1033	0.1041	0.1027	0.1019	0.0992
Run 98	68.7957	77.3399	58.6436	55.1909	59.9264	0.9278	0.3316	0.1233	0.1121	0.1064	0.0974	0.0945	0.1058	0.0945	0.0988	0.0788	0.0856	0.0849	0.0853	0.0838
Run 99	67.2399	50.8465	68.9552	60.7289	48.4065	2.0324	1.3154	1.1012	0.5757	0.1199	0.1163	0.1023	0.0996	0.0973	0.0938	0.0921	0.0909	0.0898	0.089	0.0877
Run 100	64.4575	55.4596	57.5111	50.142	47.9058	1.0709	0.1655	0.1325	0.1227	0.1188	0.1178	0.1155	0.1127	0.1111	0.1069	0.1096	0.1113	0.1017	0.0991	0.0975
