"","Breast_GSM133995","Breast_GSM134000","Breast_GSM134005","Breast_GSM134010","Breast_GSM134015"
"2617_GARS",6.13,8.47,8.58,8.71,7.17
"2619_GAS1",4.36,4.35,4.76,7.5,4.42
"2621_GAS6",6.77,8.89,8.28,9.12,7.4
"2625_GATA3",9.58,4.98,5.32,5.07,9.8
"2631_GBAS",3.64,4.97,5.06,5.55,5.9
"2632_GBE1",5.77,8.44,9.51,8.44,5.78
"2633_GBP1",2.92,4.83,4.23,5.3,2.89
"2635_GBP3",3.6,7.31,5.54,3.68,2.74
"2641_GCG",3.83,3.23,3.17,3.45,3.42
"2643_GCH1",5,4.42,3.71,3.52,5.58
"2651_GCNT2",4.16,7.66,5.43,6.96,4.34
"2664_GDI1",8.65,9.1,9.07,9.55,8.39
"2665_GDI2",5.77,5.97,5.88,4.5,5.56
"2669_GEM",3.82,4.95,6.81,5.45,4.38
"2697_GJA1",4.66,4.44,5.85,5.84,4.55
"2705_GJB1",6.19,5.7,5.87,6.01,6.14
"2706_GJB2",2.99,3.19,2.82,2.86,3.01
"2717_GLA",6.36,7.16,6.28,7.13,5.99
