ID	T1_1	T1_2	T1_3	T1_4	T1_5	T2_1	T2_2	T2_3	T2_4	T2_5	T2_6	T2_7	T2_8	T2_9	T2_10	T2_11	T2_12	T2_13	T2_14
195555	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
195564	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
195646	0	1	0	0	0	0	0	1	0	0	0	2	0	0	0	0	1	3	1
195727	4	7	21	10	11	10	5	15	10	12	5	10	2	7	4	5	25	7	19
195733	0	0	0	0	2	0	0	0	0	0	5	0	0	1	0	0	2	0	0
207151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
207157	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
207165	21	17	40	23	36	14	20	25	25	19	386	74	128	324	253	127	379	94	374
207175	0	0	2	2	0	0	2	6	0	0	0	2	4	0	4	0	2	1	3
207181	0	4	9	11	23	0	0	0	1	2	111	14	3	38	20	2	15	8	33
207182	1	1	3	4	2	4	6	2	9	22	36	8	7	23	10	11	16	3	24
207209	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
207212	9	14	11	10	8	7	9	10	2	12	40	6	4	14	20	8	18	17	32
207213	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
207214	5	6	16	6	16	8	3	6	11	8	178	27	38	216	58	12	182	13	140
207215	0	2	0	2	0	0	1	0	0	0	1	0	0	1	0	0	0	11	1
207227	4	2	7	9	8	14	6	5	4	8	31	6	6	21	46	28	64	20	17
207259	0	0	0	4	2	4	2	12	0	2	1	10	4	7	1	1	5	9	21
207278	52	53	54	61	57	31	39	55	21	15	102	58	76	40	75	29	66	43	48
207304	25	42	43	34	23	29	33	33	25	39	568	68	73	338	130	77	306	64	421
207352	2	1	2	3	0	2	6	0	2	10	83	6	16	40	25	15	50	6	24
207375	11	22	19	19	9	16	22	32	13	20	49	23	6	26	16	11	50	23	10
207393	2	1	0	0	0	0	5	8	2	0	0	4	2	2	0	0	6	2	8
207425	5	8	3	0	10	8	4	2	0	7	51	8	8	35	13	3	24	10	22
207474	0	0	2	0	4	2	0	0	0	4	15	2	4	10	2	2	7	6	22
207495	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
207521	26	23	7	15	19	6	14	20	7	4	76	8	4	11	21	29	42	55	23
207565	7	4	4	0	5	4	2	5	0	10	63	2	9	24	20	8	18	10	2
207592	11	4	14	15	13	24	16	8	27	69	226	19	89	86	111	27	167	20	58
207596	4	1	2	6	0	0	6	24	0	12	87	10	10	0	7	14	31	10	5
207607	4	5	10	5	5	13	9	1	6	5	5	8	12	7	19	6	10	1	3
207615	4	5	3	6	2	1	1	2	3	6	55	2	0	41	30	13	34	2	25
207618	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
207667	1	0	1	1	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0
207683	0	0	0	0	0	0	0	0	0	2	2	0	0	0	4	0	4	1	7
207686	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	4	0	0	2
207704	0	0	0	1	0	0	0	0	0	0	18	0	6	14	14	43	22	0	12
207728	0	0	0	0	2	1	2	4	0	2	63	11	20	15	2	10	4	11	37
207740	2	0	0	0	6	0	0	1	2	0	4	2	7	3	7	4	11	2	1
207742	4	12	11	24	6	7	0	5	0	20	16	16	14	22	1	3	10	3	13
207777	9	8	19	14	9	12	4	18	4	40	67	17	17	20	48	44	129	17	29
207781	40	37	33	28	45	18	30	86	28	36	30	38	11	24	40	29	30	19	24
207785	109	81	120	119	124	48	99	84	64	50	96	109	85	137	68	92	110	50	72
207798	0	0	0	0	2	0	0	0	0	0	2	0	0	0	1	0	0	0	1
207806	10	6	10	8	4	4	8	1	2	5	80	11	35	39	60	19	108	16	97
207818	7	3	11	2	2	11	7	8	0	0	17	2	4	1	13	0	2	2	0
207819	0	0	0	0	0	0	0	0	0	3	2	0	0	0	0	0	1	1	0
207839	2	2	0	0	0	0	0	0	0	0	17	1	5	2	3	1	3	0	2
207854	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
207911	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0
207920	0	1	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0
207921	10	21	14	24	7	0	5	13	1	1	3	2	0	3	4	0	4	3	3
207932	0	2	6	0	7	0	0	8	3	3	13	4	6	58	30	12	40	4	37
207952	2	2	7	4	2	0	0	2	2	2	9	2	2	3	6	0	6	4	3
207958	6	6	4	2	2	0	1	2	2	13	55	0	2	30	13	2	34	4	16
207965	2	0	0	0	0	2	0	2	0	2	11	2	0	6	1	0	10	1	6
208043	7	1	15	6	6	10	5	0	4	10	44	2	16	24	38	26	38	4	37
208076	5	5	11	7	4	0	3	4	2	0	2	0	0	5	0	0	2	8	0
208079	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
208080	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
208084	0	0	2	8	2	0	3	4	9	11	27	2	10	26	10	14	40	12	42
208092	8	5	3	8	4	13	6	6	6	16	43	8	17	51	16	15	14	7	33
208098	4	7	0	1	1	0	1	0	0	0	0	0	0	0	1	0	2	1	0
208104	0	1	4	0	0	4	6	2	2	1	52	1	8	26	20	14	28	2	20
208111	2	0	0	3	0	0	0	0	0	0	17	0	0	0	0	0	0	0	20
208117	2	3	1	0	4	0	0	0	0	2	39	0	1	19	0	0	2	4	12
208144	2	4	7	4	6	10	2	4	4	0	28	4	14	33	15	9	20	10	31
208146	3	4	5	1	12	13	21	15	7	17	41	31	21	39	74	31	104	19	99
208151	0	0	1	4	0	0	0	2	0	0	0	0	0	1	0	3	5	0	0
208154	0	0	0	0	0	0	2	0	0	0	4	0	0	0	0	0	1	0	0
208158	113	117	134	90	125	58	136	100	28	60	20	46	62	33	41	65	83	56	44
208164	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
208166	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
208169	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
208171	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
208177	1	1	1	4	1	2	4	2	2	0	79	5	7	29	12	12	20	5	34
208188	2	2	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0
208194	1	0	6	2	2	0	0	0	0	0	20	2	51	10	1	2	6	3	15
208198	36	22	21	33	46	18	24	30	5	20	25	12	11	23	51	10	21	12	18
208211	121	175	256	135	163	34	100	68	53	59	41	42	62	26	82	35	42	34	65
208213	1	4	22	7	36	0	2	10	0	1	6	0	2	0	1	1	4	11	1
208228	4	0	4	4	2	2	1	0	2	6	43	0	4	13	10	3	14	2	15
208258	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
208263	117	195	213	145	179	92	105	114	120	148	167	62	58	135	67	63	140	126	154
208266	64	83	53	59	89	34	39	30	26	41	74	30	35	65	42	50	100	50	58
208285	3	2	2	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0
208292	6	12	36	10	6	10	12	15	10	27	310	18	45	150	39	19	205	24	124
208366	0	0	0	2	0	2	4	1	2	0	2	1	2	7	2	0	2	1	2
208372	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
208426	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
208431	1	0	3	0	0	0	0	0	0	0	11	0	4	13	5	7	13	12	18
208439	2	2	6	19	7	45	8	15	7	12	186	18	24	68	63	43	39	2	46
208440	9	1	6	10	9	6	12	5	5	10	26	6	11	66	22	23	59	6	25
208449	2	2	0	2	0	0	2	0	0	2	22	5	0	3	7	2	5	0	5
208501	0	0	4	3	2	0	2	6	0	2	14	4	0	4	2	1	18	0	0
208518	4	4	6	4	11	0	4	7	4	4	22	4	2	31	28	17	48	6	34
208583	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
208595	2	0	0	0	0	0	0	0	0	0	0	0	0	3	2	1	1	1	0
208606	10	3	8	3	0	4	2	8	2	20	203	68	86	218	153	37	144	51	225
208613	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
208618	1	4	2	0	2	0	0	0	2	0	3	2	0	0	0	0	0	2	2
208624	1	0	2	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0
208628	2	6	4	3	2	5	6	1	4	15	54	15	13	55	16	10	66	12	46
208634	0	1	0	0	4	0	0	0	1	0	0	2	0	0	0	0	0	0	0
208638	5	7	24	6	19	4	4	7	6	14	6	1	21	14	7	3	6	3	5
208643	20	53	133	72	66	101	75	97	107	226	459	119	239	302	393	118	404	69	451
208647	6	5	0	9	8	0	1	3	4	3	15	2	4	8	6	2	8	1	2
208650	0	0	0	0	0	2	0	0	4	4	38	3	12	43	42	7	48	6	44
208659	5	8	0	2	2	3	5	9	2	12	20	8	0	0	5	2	4	4	2
208665	0	0	0	0	1	1	1	0	0	0	2	0	0	0	0	0	0	0	0
208666	1	0	0	1	0	20	2	8	6	12	12	2	8	10	12	7	19	3	20
208677	11	9	8	14	8	3	6	12	0	1	8	2	4	4	6	2	6	2	6
208691	35	27	17	28	24	13	24	24	6	6	79	48	36	68	34	16	53	33	50
208715	2	19	17	6	7	3	8	2	8	6	120	18	35	137	51	16	78	6	105
208718	2	2	0	2	0	2	4	4	1	0	38	5	10	34	26	0	22	5	25
208727	3	10	8	2	7	0	2	6	0	9	21	0	7	17	18	13	35	8	16
208748	2	12	19	6	14	4	7	22	7	28	23	0	10	6	7	10	31	0	25
208760	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
208768	2	8	5	2	0	3	0	3	6	3	42	2	11	30	21	16	19	8	22
208777	6	8	5	15	10	13	10	8	2	10	25	6	5	10	6	14	18	20	26
208795	0	1	0	0	0	0	0	0	0	1	3	0	0	4	0	4	7	0	6
208820	0	0	0	1	0	0	0	0	0	0	3	0	0	4	0	0	0	0	8
208836	210	321	375	299	316	441	482	456	478	608	392	398	628	316	355	265	391	330	279
208846	4	0	4	0	0	7	6	6	15	4	193	33	41	101	77	48	92	19	255
208869	15	67	49	44	30	34	26	49	25	39	90	91	49	31	82	27	79	70	55
208884	2	0	1	0	0	0	2	0	0	0	16	0	0	4	4	0	8	4	11
208890	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
208898	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	1	1	0	0
208908	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0	0
208922	5	3	4	1	2	1	0	10	0	2	10	1	2	1	7	2	2	10	4
208936	0	0	0	0	0	0	4	0	0	5	11	0	0	0	7	0	1	0	0
208943	0	0	0	0	0	3	0	1	0	0	0	5	2	0	0	0	3	0	0
208967	2	2	2	0	0	0	1	0	4	0	28	2	10	27	17	1	10	0	15
208968	2	3	0	0	0	0	2	0	0	0	55	4	6	43	50	10	58	8	41
208982	0	2	0	0	4	0	6	2	0	15	52	9	0	52	68	4	90	2	38
208990	0	1	3	5	0	3	4	2	2	2	0	4	1	1	0	0	0	1	2
208994	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
209003	2	4	2	0	0	4	0	2	1	4	41	12	8	38	25	14	24	18	24
209005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
209011	2	0	2	2	4	3	0	0	2	6	10	0	2	4	12	7	10	4	9
209012	12	16	18	8	8	5	8	3	3	10	4	10	41	16	9	5	4	5	10
209018	5	5	7	5	7	4	6	4	1	5	47	6	3	19	23	8	26	1	47
209027	12	26	24	15	36	9	3	10	5	4	7	7	6	9	10	5	5	5	3
209032	14	16	19	8	25	15	12	18	5	11	10	0	8	9	3	5	15	2	11
209039	10	16	9	12	24	19	14	22	2	6	24	24	15	13	13	18	22	12	15
209047	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
209086	2	8	6	6	4	0	0	0	0	0	169	6	42	62	20	22	160	17	133
