tumor_1	tumor_2	tumor_3	tumor_4	tumor_5	tumor_6	tumor_7
103505	2	2	2	2	2	1	2
103534	2	2	2	2	2	2	2
103694	2	2	2	2	2	2	2
103733	2	2	2	2	2	2	2
103964	3	2	3	2	3	2	3
104103	3	2	2	2	3	3	2
104183	2	2	2	2	2	2	2
104184	2	2	2	2	2	2	2
104215	3	2	2	2	3	3	2
104348	2	2	2	2	2	2	2
104662	2	2	2	2	2	2	2
104732	3	2	2	2	2	2	3
104771	3	2	2	2	2	2	3
104932	3	2	2	2	2	2	3
105120	1	1	1	2	1	1	1
105242409	2	2	2	3	2	2	2
105242415	3	2	3	2	3	2	3
105242446	3	2	2	2	2	2	2
105242534	2	3	2	2	2	2	2
105242546	2	3	2	2	2	2	2
105242548	2	3	2	2	2	2	2
105242578	2	3	2	2	2	2	2
105242604	3	2	3	2	3	2	3
105242627	3	2	3	2	3	2	3
105242642	3	2	3	2	3	2	3
105242675	3	2	3	2	3	2	3
105242677	3	2	3	2	3	2	3
105242692	3	2	3	2	3	2	3
105242696	3	2	3	2	3	2	3
105242726	3	2	3	2	3	2	3
105242731	3	2	3	2	3	2	3
105242744	3	2	3	2	3	2	3
105242769	3	2	3	2	3	2	3
105242773	3	2	3	2	3	2	3
105242794	3	2	3	2	3	2	3
105242836	2	2	2	2	2	2	2
105242854	2	1	2	2	2	1	1
105242889	2	1	2	2	2	1	1
105242890	2	2	2	2	2	2	2
105242904	2	2	2	2	2	2	2
105242936	2	1	2	2	2	1	1
105242939	2	1	2	2	2	1	1
105242980	2	1	2	2	2	1	1
105243063	2	1	2	2	2	1	1
105243086	2	1	2	2	2	3	1
105243101	2	1	2	2	2	12	1
105243113	2	2	2	2	2	2	2
105243123	2	2	2	2	2	2	2
105243154	2	2	2	2	2	2	2
